model,horizon_day,WAPE,MAE,RMSE,Biais,MASE
lightgbm,13,0.07635883311827402,394.54102229851975,574.9411247080233,-0.015706418207425913,0.5037378876729629
lightgbm,14,0.07899260404581103,365.7663451551958,704.1811534119723,-0.026504439465871298,0.4694284345783696
moyenne_mobile,1,0.1647840824052012,879.0528694064154,1316.9465475188963,0.02601796203791423,1.0165909148560064
moyenne_mobile,2,0.3962939668532603,1554.2232059871033,1991.1670597683508,0.3955929708582539,1.9086353269568634
moyenne_mobile,3,0.12862657726553087,669.2217536656747,1010.7893287507945,0.05199909297282183,0.7851815431276604
moyenne_mobile,4,0.14169287482606216,891.59388047123,1392.3211436297427,-0.13016749159797608,1.029107953470138
moyenne_mobile,5,0.25446337895898774,1868.1468437549602,2513.631457938152,-0.25446337895898774,2.2227056409929857
moyenne_mobile,6,0.1723808291976363,810.4014547139551,1112.9508999674538,0.16424251705723614,0.9580436926134323
moyenne_mobile,7,0.3642269989023372,1461.3027343468916,1846.856506175056,0.3642269989023372,1.7641285776817919
moyenne_mobile,8,0.2335624199105772,1128.9259511094579,1537.3958831058303,0.13238005545203066,1.2534171026538825
moyenne_mobile,9,0.4028360717161105,1573.858987924934,1993.4805128594846,0.4009325804374127,1.9197907855269354
moyenne_mobile,10,0.10775213125250534,559.4718578323414,816.0548531978224,0.05414978578767535,0.7097833828557903
moyenne_mobile,11,0.23153577234326989,1581.5498102662036,2410.0953350823415,-0.1987096241947344,1.734843810652768
moyenne_mobile,12,0.28398991064592694,2142.960257313161,3365.513945707343,-0.27465688007903327,2.458549050678972
moyenne_mobile,13,0.10096126473549147,521.6601534441137,773.6785419720743,0.059306944220784974,0.6616162273856688
moyenne_mobile,14,0.2083183755418896,964.5947461921297,1310.5342414126233,0.18205419853577176,1.214178155780828
naive_saisonnier,1,0.1228008279581022,655.0900949074073,992.0510647529723,-0.06466948537095843,0.7585447402506341
naive_saisonnier,2,0.12248570633552289,480.3760418055556,714.9814332877967,-0.0005461090711151237,0.600682369342103
naive_saisonnier,3,0.1405524712174089,731.2701097222222,1216.8743382970413,-0.0034381407557393835,0.8510464189689982
naive_saisonnier,4,0.1591086199054908,1001.1814074074074,1498.9557955923008,0.1437683981715889,1.1564278906538368
naive_saisonnier,5,0.16137918618346533,1184.7677986111112,1691.2749407657254,0.09428218486958943,1.4284669994592245
naive_saisonnier,6,0.13642784678461253,641.378313425926,942.3778522751834,0.11159661639491679,0.7746195128217334
naive_saisonnier,7,0.18346738776188382,736.0832563425926,1276.3899633539913,0.1504882899581984,0.8478839634345121
naive_saisonnier,8,0.0673732799730901,325.64932407407406,499.7887116868066,0.032291498988856825,0.4460959600008242
naive_saisonnier,9,0.13051432933947205,509.9125046296296,809.1134180657675,0.0032778522710299593,0.638165531002165
naive_saisonnier,10,0.11898894260650993,617.8157592592593,920.2386889076566,-0.001400783076868198,0.737272341344699
naive_saisonnier,11,0.1703328602768454,1163.4914990740742,1766.3684650210082,0.05364032816937498,1.3353006989874248
naive_saisonnier,12,0.272435862818511,2055.7745356481482,3015.5014058742004,0.06464260996184747,2.370639630060183
naive_saisonnier,13,0.1463473785976811,756.1671912037037,1121.2065963245543,0.011406126874487338,0.8775596126886476
naive_saisonnier,14,0.16914026254915593,783.184912037037,1262.4326163577614,-0.003142794706788593,0.9391940425441718
prophet,1,0.10898801818687162,581.4046400580258,865.4405611623223,0.04251435137494955,0.6915960468619275
prophet,2,0.16853581231534448,660.9797081200263,1036.9161357653131,0.13199866515784583,0.7874275777557551
prophet,3,0.1025102935473315,533.3432629161015,838.7584294811679,0.025630207676262548,0.6537384082902649
prophet,4,0.12294587212246308,773.6294951185789,1081.9208329663431,0.10827276217684162,0.9604199619492866
